filename,Tree cover,Shrubland,Grassland,Cropland,Built-up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland
28.2617_76.9558.png,0.9,0.03,1.01,97.61,0.45,0.0,0.0,0.0
28.8204_75.8559.png,3.75,0.59,0.05,94.7,0.87,0.04,0.0,0.0
29.1381_75.7646.png,16.47,1.27,2.83,30.68,46.1,1.74,0.91,0.0
29.5704_74.9882.png,4.73,1.76,1.68,82.95,8.69,0.19,0.0,0.0
29.5293_75.3680.png,1.96,0.03,0.07,97.78,0.17,0.0,0.0,0.0
28.9969_76.1470.png,0.38,0.52,0.59,98.51,0.0,0.0,0.0,0.0
29.4469_75.7180.png,1.31,1.1,0.4,93.86,2.89,0.45,0.0,0.0
28.2881_76.5679.png,0.25,0.11,0.09,99.54,0.01,0.0,0.0,0.0
29.7969_76.9882.png,2.57,0.17,0.74,79.63,16.0,0.89,0.0,0.0
29.2469_76.6382.png,3.28,0.47,0.44,93.57,2.17,0.07,0.0,0.0
30.6117_77.1146.png,85.16,7.85,0.17,6.64,0.17,0.0,0.0,0.0
28.2617_76.8646.png,6.73,0.98,10.23,79.57,2.45,0.04,0.0,0.0
29.1381_75.6558.png,1.62,0.58,0.2,97.22,0.38,0.0,0.0,0.0
28.8969_77.1058.png,11.03,0.11,3.42,27.01,55.08,2.92,0.43,0.0
29.0968_76.9970.png,3.91,0.99,2.97,80.96,11.14,0.02,0.0,0.0
30.3617_77.5180.png,99.34,0.6,0.05,0.01,0.0,0.0,0.0,0.0
30.7116_76.8646.png,71.61,1.53,1.2,2.58,21.39,0.68,1.01,0.0
29.9381_75.0882.png,1.43,1.98,1.27,93.44,0.18,1.47,0.23,0.0
28.2204_76.2646.png,0.42,0.17,0.64,98.11,0.36,0.3,0.0,0.0
29.5880_77.0646.png,1.49,0.0,1.04,97.45,0.0,0.02,0.0,0.0
29.1117_76.2970.png,0.76,1.33,1.62,89.48,3.05,0.8,2.95,0.0
28.5381_77.3470.png,17.4,1.02,12.82,13.25,54.61,0.9,0.0,0.0
